two-channel video installation
albumen print mounted on card
albumen print mounted on card
albumen print mounted on card
albumen print mounted on card
albumen print mounted on card
albumen print mounted on card
albumen print mounted on card
albumen print mounted on card
albumen print mounted on card
albumen print mounted on card
albumen print mounted on card
albumen print mounted on card
albumen print mounted on card
albumen print mounted on card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
albumen carte-de-visite
albumen print mounted on photographer's studio card
two gelatin silver prints mounted on studio card
two albumen prints mounted on studio card
gelatin silver print
gelatin silver print
tintype
mahogany and maple
wood
wood, silver
two albumen prints mounted on studio card
painted salt print
oil on canvas
salt print
two albumen prints mounted on studio card
watercolor and crayon on wove paper
watercolor, graphite, and crayon on wove paper mounted on board
lithograph on wove paper mounted on board
lithograph on wove paper mounted on board
albumen print
albumen print
lithograph
engraving
vintage gelatin silver print
cyanotype
photograph
mahogany and spruce with brass handles
albumen prints
oil on canvas
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
gelatin silver print mounted on board
gelatin silver print mounted on board
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
two albumen prints mounted on studio card
engraving
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
